Timestamp,Open,High,Low,Close,Volume,Ticker,return,rolling_mean_20,rolling_volatility_20,high_low_spread,momentum,volume_change,price_range_ratio,volume_zscore,return_zscore
6/18/2024,215.7213237,216.7524006,211.1707465,212.4496613,79943300,AAPL,-0.010984506,196.8240181,0.019987543,5.581654149,-2.359573364,1.102776104,0.026272831,0.171746068,-0.846923034
6/20/2024,212.0927426,212.400093,207.0563834,207.8792419,86172500,AAPL,-0.021512952,197.683075,0.020904934,5.343709588,-4.570419312,1.153798312,0.025705835,0.267872868,-1.245536018
6/21/2024,208.5831729,210.0702909,205.3313427,205.7080841,241805100,AAPL,-0.010444322,198.5054535,0.021003054,4.738948214,-2.171157837,2.843302084,0.023037248,2.810358248,-0.705798858
6/24/2024,205.9361021,210.8733296,204.8158017,206.3524933,80727000,AAPL,0.003132639,199.5593239,0.020139861,6.057527931,0.64440918,0.932938548,0.029355245,-0.105088472,-0.121971861
6/25/2024,207.3538205,209.5646802,206.8184647,207.2745209,55549700,AAPL,0.004468216,200.5056282,0.019973143,2.746215566,0.922027588,0.634919383,0.013249171,-0.586501444,-0.025781035
6/26/2024,209.6836235,213.0147682,208.8310086,211.4185944,66213200,AAPL,0.019993164,201.6586403,0.020210357,4.183759561,4.144073486,0.750822068,0.019788986,-0.406374469,0.693357069
6/27/2024,212.8462362,213.8872218,210.5263358,212.2613068,49772700,AAPL,0.00398599,202.8389183,0.020189924,3.36088594,0.842712402,0.565452103,0.015833719,-0.705828794,-0.10473223
6/28/2024,213.9169529,214.2143795,208.4939285,208.8111725,82542700,AAPL,-0.016254184,203.7971176,0.020800953,5.72045098,-3.450134277,0.920665008,0.02739533,-0.133025659,-1.022993301
7/1/2024,210.2685663,215.6420175,210.1000281,214.8885498,60402900,AAPL,0.029104656,205.0115974,0.021486512,5.541989419,6.077377319,0.679312061,0.025790064,-0.530203203,1.064635401
7/2/2024,214.2936987,218.4873823,213.2527282,218.3783264,58046200,AAPL,0.016239937,206.3123314,0.021594751,5.234654172,3.489776611,0.64989674,0.023970576,-0.584406128,0.447401329
7/3/2024,218.1106169,219.6473083,217.1489461,219.6473083,37369800,AAPL,0.005810934,207.6606514,0.021564785,2.498362211,1.268981934,0.420779171,0.011374427,-0.953170053,-0.045238873
7/5/2024,219.7464696,224.5052504,219.7464696,224.3961945,60412400,AAPL,0.021620507,209.1710686,0.02181889,4.758780753,4.748886108,0.677848611,0.021207047,-0.533917383,0.648246895
7/8/2024,225.139738,225.8932208,221.3327197,225.8634796,59085900,AAPL,0.006538815,210.8237526,0.021550952,4.56050106,1.467285156,0.65637187,0.020191405,-0.58277047,-0.075144224
7/9/2024,225.9725207,227.4298975,224.4259205,226.7160797,48076100,AAPL,0.003774847,212.3996025,0.021547993,3.003977028,0.852600098,0.535562127,0.013249951,-0.782572579,-0.183429793
7/10/2024,227.3307527,231.0782885,227.2811791,230.9791412,62627700,AAPL,0.018803525,214.3754852,0.02071156,3.797109409,4.263061523,0.711286999,0.016439187,-0.474420312,0.443162074
7/11/2024,229.4028015,230.3942134,223.8310714,225.6156158,64710600,AAPL,-0.023220821,215.3877174,0.015890527,6.56314201,-5.363525391,0.782802552,0.029089928,-0.359451796,-1.765345995
7/12/2024,226.9540219,230.6420755,226.7160775,228.5601044,53046500,AAPL,0.013050907,216.2537155,0.015024989,3.925997979,2.944488525,0.703432793,0.017177092,-0.529484012,0.598724223
7/15/2024,234.4490862,235.1926452,231.0882004,232.3869476,62631300,AAPL,0.016743269,217.2530586,0.015289923,4.104444737,3.826843262,0.850398775,0.017662114,-0.262419166,0.793043791
7/16/2024,232.9818221,234.2409196,230.3347539,232.8033752,43234300,AAPL,0.001791958,218.3599716,0.015011212,3.906165736,0.416427612,0.597944178,0.016778819,-0.683496742,-0.2214179
7/17/2024,227.4794799,229.4722277,224.6936146,226.9143829,57345900,AAPL,-0.025295992,218.965229,0.016048096,4.778613091,-5.88899231,0.813581007,0.021059102,-0.310303337,-1.754932232
7/18/2024,228.3023337,228.4609632,220.3611297,222.254715,66034600,AAPL,-0.020534917,219.4554817,0.016614068,8.099833498,-4.659667969,0.946185186,0.036443922,-0.088796944,-1.379838214
7/19/2024,222.8892357,224.8522271,221.3624529,222.383606,49151500,AAPL,0.000579925,220.1806999,0.01564751,3.489774204,0.128890991,0.723461919,0.015692588,-0.443617416,-0.186261457
7/22/2024,225.0604154,225.8238068,221.1740824,222.0366211,48201800,AAPL,-0.001560299,220.9971268,0.015354344,4.649724343,-0.346984863,0.82736889,0.02094125,-0.901403499,-0.358136612
7/23/2024,222.4431031,224.9910392,220.7676145,223.0776062,39960300,AAPL,0.004688349,221.8333824,0.015353986,4.223424755,1.040985107,0.710774241,0.018932536,-1.54220189,0.043761237
7/24/2024,222.0762625,222.8693951,215.2652677,216.663147,61777600,AAPL,-0.028754384,222.3028137,0.017010351,7.604127352,-6.414459229,1.092786058,0.035096543,0.494170308,-1.828868455
7/25/2024,217.0497975,218.9533217,212.7768147,215.6221771,51391200,AAPL,-0.004804554,222.5129929,0.016554713,6.176506959,-1.040969849,0.921136167,0.028645045,-0.422308464,-0.357600741
7/26/2024,216.8217852,217.6050091,214.1548847,216.08815,41601300,AAPL,0.002161062,222.704335,0.016543083,3.450124394,0.4659729,0.751162867,0.015966282,-1.27372492,0.068722683
7/29/2024,215.0967471,217.4166474,213.8971319,216.3657532,36311800,AAPL,0.001284675,223.0820641,0.016036052,3.519515509,0.277603149,0.68421191,0.016266509,-1.749581537,-0.038441159
7/30/2024,217.3076096,218.4378187,214.2639673,216.9209595,41643800,AAPL,0.002566054,223.1836845,0.014709716,4.173851385,0.555206299,0.798798765,0.019241347,-1.076887211,0.135411494
7/31/2024,219.5382418,221.8978068,218.7352006,220.1727448,50036300,AAPL,0.014990646,223.2734055,0.014642188,3.162606212,3.251785278,0.967211446,0.014364204,-0.175800516,0.988849542
8/1/2024,222.443091,222.5521469,215.1562223,216.4847107,62501000,AAPL,-0.016750639,223.1152756,0.015075138,7.395924562,-3.688034058,1.17950684,0.034163727,1.021663974,-1.070257877
8/2/2024,217.2679231,223.6625423,215.8403026,217.9718323,105568600,AAPL,0.006869407,222.7940575,0.014269243,7.822239693,1.487121582,1.910850934,0.03588647,3.36286634,0.576296521
8/5/2024,197.380197,211.6664465,194.3167378,207.4727783,119548600,AAPL,-0.048167022,221.8745224,0.017544156,17.34970873,-10.49905396,2.051630649,0.083624025,2.951207303,-2.51239336
8/6/2024,203.536854,208.186578,199.3431862,205.4502716,69660500,AAPL,-0.009748299,220.811232,0.017485617,8.843391808,-2.022506714,1.173738308,0.043043953,0.496517953,-0.284973741
8/7/2024,205.1231301,211.8052523,204.6175155,208.0180664,63516400,AAPL,0.012498376,219.6631783,0.017090696,7.187736769,2.5677948,1.069413176,0.034553426,0.198441312,1.028570828
8/8/2024,211.2798243,212.3604598,207.0365819,211.4781036,47161100,AAPL,0.01663335,218.9563026,0.017187445,5.32387791,3.460037231,0.805949188,0.025174606,-0.54306726,1.147422185
8/9/2024,210.2784746,214.9182751,210.1495862,214.3829193,42201600,AAPL,0.013735775,218.2474434,0.017221939,4.768688921,2.904815674,0.727940425,0.022243791,-0.744078725,0.97488661
8/12/2024,214.4623249,217.8767167,213.9958208,215.9114532,38028100,AAPL,0.007129924,217.4236687,0.016768509,3.880895891,1.528533936,0.670171718,0.017974479,-0.865573631,0.635969151
8/13/2024,217.3804629,220.2390393,217.3804629,219.6236572,44155300,AAPL,0.017193178,216.7646828,0.01736887,2.858576368,3.712203979,0.777520778,0.013015794,-0.585123175,1.14903543
8/14/2024,218.9288599,221.3705478,218.0653228,220.0702972,41960600,AAPL,0.002033661,216.4224785,0.016559099,3.305225008,0.446640015,0.749020896,0.015018951,-0.643633288,0.207224282
8/15/2024,222.9288713,223.673291,221.1025503,223.0479736,46414000,AAPL,0.013530569,216.4621414,0.016235884,2.570740634,2.977676392,0.843284204,0.011525505,-0.395452574,0.814558771
8/16/2024,222.2539311,225.142283,221.9859358,224.3680878,44340200,AAPL,0.005918521,216.5613655,0.016284446,3.156347223,1.320114136,0.809142429,0.014067719,-0.477427572,0.328295088
8/19/2024,224.0405105,224.3085058,221.3804434,224.2092438,40687800,AAPL,-0.000707962,216.6699966,0.016279685,2.928062366,-0.158843994,0.74761722,0.013059508,-0.621815788,-0.081266682
